,created_on,property_type,place_name,state_name,lat,lon,price,currency,price_aprox_usd,surface_total_in_m2,rooms,expenses,properati_url
57843,2014-04-18,PH,Floresta,|Argentina|Capital Federal|Floresta|,-34.628246999999995,-58.484411,120000.0,USD,120000.0,,3.0,,http://www.properati.com.ar/exkl_venta_ph_floresta
57844,2014-04-18,apartment,Floresta,|Argentina|Capital Federal|Floresta|,-34.632081,-58.484716000000006,120000.0,USD,120000.0,,3.0,,http://www.properati.com.ar/exkm_venta_departamento_floresta
57845,2014-04-18,PH,Paternal,|Argentina|Capital Federal|Paternal|,-34.602136,-58.454992000000004,139500.0,USD,139500.0,88.0,4.0,,http://www.properati.com.ar/exko_venta_ph_paternal
57846,2014-04-18,house,Lanús Este,|Argentina|Bs.As. G.B.A. Zona Sur|Lanús|Lanús Este|,-34.711624,-58.390891,230000.0,USD,230000.0,203.0,,,http://www.properati.com.ar/exkp_venta_casa_lanus-este
57847,2014-04-18,apartment,Barracas,|Argentina|Capital Federal|Barracas|,-34.630142,-58.370565,130000.0,USD,130000.0,70.0,3.0,,http://www.properati.com.ar/exkr_venta_departamento_barracas
57848,2014-04-18,apartment,Recoleta,|Argentina|Capital Federal|Recoleta|,-34.594091999999996,-58.39959,375000.0,USD,375000.0,184.0,7.0,,http://www.properati.com.ar/exkt_venta_departamento_recoleta
57849,2014-04-18,apartment,Palermo,|Argentina|Capital Federal|Palermo|,-34.582161,-58.409009,75000.0,USD,75000.0,28.0,,,http://www.properati.com.ar/exku_venta_departamento_palermo
57850,2014-04-18,apartment,San Andres,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|San Andres|,-34.580612,-58.559837,88000.0,USD,88000.0,85.0,3.0,,http://www.properati.com.ar/exkz_venta_departamento_san-andres
57851,2014-04-18,apartment,Villa Ballester,|Argentina|Bs.As. G.B.A. Zona Norte|General San Martín|Villa Ballester|,-34.540457,-58.528139,33000.0,USD,33000.0,30.0,2.0,,http://www.properati.com.ar/exl2_venta_departamento_villa-ballester
57852,2014-04-18,house,Escobar,|Argentina|Bs.As. G.B.A. Zona Norte|Escobar|,-34.438453,-58.73204499999999,158000.0,USD,158000.0,130.0,,,http://www.properati.com.ar/exl3_venta_casa_escobar
